Get a loan	loan
New account	new account, new
Fraud Center	fraud center, fraud, center
I’m new to this bank so I’m really confused on how do I see my money I put on the card	money card, new bank, confused money, new, really
I received an inactive account notice. I want to keep the account active please.	inactive account, active, want account, notice, received
Trying to make a payment for services through Venmo but keeps being declined	services venmo, make payment, keeps declined, services, trying make
i would like to download my tax statement but cannot find the link	download tax, tax statement, link, statement, like
How do I log out?	log
How do I deposit a check using the app	deposit check, using app, check using, check, using
Want to change password do to it being compromised	change password, password compromised, compromised, change, want
customer support	customer support, customer, support
False charges from online divorce	online divorce, false charges, charges online, online, false
Locked out of inline banking. Pretty sure if my password but it’s not working.	locked inline, password working, banking pretty, working, sure
How many devices are registered to this account	devices registered, registered account, devices, registered
Hi there! I need some help with…reseting online password	online password, help reseting, online, hi need
Would like to discontinue paper statements on a savings acct	statements savings, discontinue paper, paper statements, acct, like
I’m trying to set up a bill pay but keep getting an error	set pay, getting error, trying set, trying, getting
Got a call about a transfer that I did on the mobile app. I did initiate that on the app and would like for it go through.	initiate app, transfer did, mobile, got, like
Hello, we had a check get lost in the mail. Is there a fee for cancelling that check for security purposes?	cancelling check, mail fee, hello check, lost, security purposes
Hi there! I need some help with… online access	online access, access, help online
A charge on my account	charge account, charge
I don’t see the option where I can take a picture of my check	picture check, option picture, check, picture, don option
Gi have a account but I can’t get the portal setup. I think maybe it has the wrong email.	gi account, wrong email, portal setup, setup think, think maybe
login	login
I need a pay off amount for my car loan	car loan, pay car, pay, car
How do I put a stop payment on a check #6690 for $500?	stop payment, payment check, 6690 500, check, stop
I was just wanting to make sure there is no penalty for me transferring money from my savings account to my checking account. Please advise.	savings account, penalty transferring, make sure, money, just wanting
Every month I have Fubo TV make a withdrawal for 69.98 i think. It always flags as fraud. How do I keep it from flagging as fraud so it will go through without any effort on my part?	fraud flagging, fubo tv, make withdrawal, 69 98, effort
Hi Gabby. What is the penalty for withdraing 5yr cd early?	penalty withdraing, 5yr cd, withdraing 5yr, early, hi gabby
I don't know how to get into my online account.  Can't remember login or password	login password, online account, account remember, know online, don
I had fraud activity in my	fraud activity, fraud, activity
I'm locked out of my account, but I don't know my account number, so I can't unlock it.	locked account, know account, number, don, know
We just got a vehicle loan yesterday through Sykora family ford. Trying to add vehicle to our insurance. Progressive can’t find extract as a leinholder	vehicle loan, extract leinholder, sykora family, trying add, progressive
My debit card is being declined	card declined, debit card, debit, declined, card
My account is locked	account locked, locked
Good day\nI need to  change my address but can't where to do it on line. I need checks as well.\nJohn \nAcct # 000000\n	change address, need checks, 000000, good day, njohn nacct
Trust Department phine number	department phine, phine number, trust department, trust, number
Why was I charged a service fee?	service fee, charged service, fee, service, charged
Hi there! I need some help with…	need help, hi need
Representative	representative
Why can I not withdraw cash from my account currently ?	withdraw cash, cash account, withdraw, account currently, currently
Can you unlock my bank account?	unlock bank, bank account, unlock
how do i set up a monthly bill pay	monthly pay, set monthly, monthly, pay, set
Hi. I'm  in Senegal Africa.  I'm trying to 3d secure my credit card	credit card, 3d secure, hi senegal, africa trying, trying
I need to speak with a representative about my account.	representative account, speak representative, need speak
hi i created my account a few weeks ago and i haven't received a debit card	debit card, haven received, hi created, weeks ago
Does your business have debts that need to be collected, but you’re wary of the reputation of the collections industry?\n\n\nIC System has 84 years of experience in ethical collections practices. Our Consumer Satisfaction Survey has shown that over 99% of debtors feel they were treated professionally during our phone calls. And the higher the call rating, the higher the chances of success in collecting the amount due.\n\n\nIn short, we can help your business get paid without spending your internal resources like	business debts, ethical collections, professionally phone, collected wary, satisfaction survey
I need to transfer some money from my banking   Account to my sister’s banking account in Sparkman, Arkansas	sister banking, need transfer, sparkman arkansas
I got my credit card in and activated it on the activation site will it show on the app the uses and where to pay it ?	card activated, site app, uses pay, credit, got
Lost debit card	lost debit, debit card, debit, card, lost
Where is place on app to increase debit amount?	increase debit, debit, app increase, place app, app
My card won’t let me purchase something online	purchase online, card, let purchase, online, won let
Double charge appearing on account	charge appearing, double charge, charge, double, appearing account
Live agent	live agent, agent, live
Wire	wire
Hii	hii
Can’t log in with usual face Id	face id, usual face, id, log usual, usual
All of my accounts are showing $0.00 Balances????	accounts showing, 00 balances, balances, showing 00, showing
Hello.  Someone transfered money to me using Zelle.  Would I receive it?	zelle receive, transfered money, money, using
I dont have card controls or payment and transfers or deposit a check on my drop down menu on the app	controls payment, deposit, app, drop menu, dont card
Do you have business accounts? And can you sign up online	business accounts, sign online, online, business, sign
I applied for a checking account last night, but I haven’t heard back from you yet. Can you help me?	checking account, applied checking, applied, haven heard, night
Fraud	fraud
I forgot my password	forgot password, password, forgot
Hello, is there a limit on how much a check can be to deposit thru an ATM	deposit atm, limit check, atm, check
I’m interested in potentially setting up a joint account for my wife and I to have our primary checking account through AIQFinancial. I’m interested in the bonus banking option but am not sure if that is best.	bonus banking, wife primary, setting joint, interested potentially
I need to reset my password	reset password, password, need reset, reset
I just made a principal payment of $1,000 to my LOC on 3/3/23. Thank you.	principal payment, loc 23, 000, just
What's. My login I	login
Does the bank in Waco offer notary service?	notary service, does bank, waco offer, service, does
Hi there! I need some help with...online banking	online banking, online
I seem to have forgotten my log-in info	forgotten log, log info, forgotten, log, info
My debit card keeps getting declined	debit card, getting declined, card keeps, keeps, getting
How do I do mobile deposit	mobile deposit, deposit, mobile
CD Rates	cd rates, rates, cd
I am having issues setting up a Citi Visa Costco card with bill pay	costco card, citi visa, issues setting, pay, having
Yesterday I depositted a check on an extrabanker for $350 and got $200 in cash. It is not showing up do you know when it will show back up in my account??	depositted check, extrabanker 350, got 200, yesterday, showing know
Why am I getting charged a $5 service charge	service charge, charged service, getting charged, service, getting
Locked myself out of my account after changing password	locked account, changing password, account changing, changing
Trying to find my routing and account number on here	routing account, trying routing, account number, number, trying
Good morning. I received an email from AIQFinancial saying my tax statement was ready but I just logged in and find no tax documents available in my portal. Suggestions for where to look?	tax statement, email aiqfinancial, documents available, just logged, portal suggestions
Hi we made a deposit of $500 last night using the virtual teller machine and wonder why it’s not credited to our account yet	credited account, using virtual, machine wonder, 500 night
Can someone release the funds from the checks I deposited please. For Rockin R Farm and Ranch. I was told to reach out if they don’t become available	release funds, deposited rockin, checks, farm ranch, told reach
how to setup auto pay	auto pay, setup auto, pay, auto, setup
my funds transfers aren’t going through	funds transfers, transfers aren, funds, aren going, aren
Close account	close account, close
The holiday messed up when drafts would normally come out of my account. This resulted in $175 worth of overdraft fees. Is there any way to remove some of the fees?	overdraft fees, drafts normally, holiday messed, come account, worth
I need help took money from my account on my state card used for alimony, I have no idea what this is	used alimony, account state, card used, money, help took
Hello, yesterday I went to the atm around 7:30pm in Belton tx, at the n. Main st. Location. And deposited 100 in my basic checking account. & I do not see this deposit on my account. I am worried.	account deposit, yesterday went, 100 basic, 30pm belton, worried
I used 3 times to log-in and was on the wrong key.  Can you please reset my ability to log in?	key reset, ability log, used, times, wrong
Routing number	routing number, routing, number
I need assistance making a tranfer	making tranfer, tranfer, assistance, making
do you guys do sr22	sr22, guys sr22, guys
I need to change my address on my account.  How do I do that online?	change address, address account, account online, change
Account locked on app. Need to reset	account locked, locked app, need reset, app need
I need my mortgage tax documents	mortgage tax, tax documents, need mortgage, documents
I need a check - can I come into belton AIQFinancial snd get a printed check	printed check, belton aiqfinancial, snd, come
I forgot my login name and password	forgot login, login password, login, password, forgot
On August 3, I visited the Harker Heights Branch and presented £350 and €160 for currency exchange. I have not seen it post to my account yet. Something seemed odd because I was not given any kind of receipt for the currency. The teller put it in some sort of inner office mailer and indicated it could be a couple weeks before it credited. She remarked that she had never done this type of transaction before.	receipt currency, harker heights, odd, branch presented, 350 160
On line statement	line statement, line, statement
I think my account has been hacked.	account hacked, hacked, think account, think
Like to open a account	open account, like open, open, like
Hi, I have an account at the AIQFinancial Banks in Gatesville.  Is notary service available there?	gatesville notary, banks, service available, hi account
Need password help.	password help, need password, password
I didn't make it back to pick up my deposit slips, can I get them in the morning	deposit slips, morning, make pick, didn, make
Setting up a money market account  in office.	account office, setting money, market, money, setting
Both of
Reset passcode	reset passcode, passcode, reset
Do you have a fax number that I can fax an asset verification to?	fax asset, number fax, asset verification, verification, number
Fraud dept	fraud dept, fraud, dept
Wiring instructions	wiring instructions, wiring, instructions
Hi there! I need some help with…	need help, hi need
Zelle	zelle
I bought a gift card online with my card but it showing pending	card online, showing pending, gift card, bought gift, showing
I downloaded the AIQFinancial app to pay my mortgage. How do I set up my username/password?\nDawn Mullins	aiqfinancial app, pay mortgage, set username, downloaded, mullins
I need to stop an erroreous payment	erroreous payment, stop erroreous, payment, need stop
Hey I’m trying to reset my password I’ve been locked out my app	reset password, ve locked, app, trying, hey
Hello, I was wondering how to add my savings account on to my mobile app. I already have my checking in here, but wanted to be able to view my savings as well.	savings account, mobile app, view, wanted able
How do I set up my online bank account?	online bank, set online, online, set
hello, i had got logged out of my account and i dont remember my user, is there any way yall could tell me what my user was?	logged account, user way, dont remember, yall tell
Title of vehicle	title vehicle, vehicle, title
Was trying to see if I could get a credit report	credit report, trying credit, credit, report, trying
What are the current rates on a Home Equity Loan?	equity loan, home equity, rates home, current rates, home
Locked out of checking account	checking account, locked checking, locked
Reset account password	reset account, account password, password, reset
Dispute a transaction	dispute transaction, transaction, dispute
I need to see about 2 credits that have not been posted to my account	need credits, credits posted, posted
Do you have a notary for account holders?	notary account, notary, account holders, holders
someone withdrew money out our account without permission please help	withdrew money, permission help, money
My online account is currently locked out.	online account, currently locked, account currently, online, currently
Hi there! I need some help with…	need help, hi need
Daily withdrawal limit	daily withdrawal, withdrawal limit, withdrawal, daily, limit
Hi there! I need some help with…locked online account	locked online, help locked
I lost Andy	lost andy, andy, lost
Forgot password	forgot password, password, forgot
Change address	change address, address, change
Travel notice	travel notice, travel, notice
Hi
Is your website DOWN?	website
Hi
can't get a password set	password set, password, set
I want my mortgage statement	mortgage statement, want mortgage, mortgage, statement, want
I need to enroll in direct transfer with Quicken	transfer quicken, need enroll, transfer, direct
I locked myself out of my bank app	bank app, locked bank, locked, app
I'm locked out of my online banking account	online banking, banking account, locked, online
business loans	business loans, loans, business
how do  I logoff my mobile account,right now  I have me account oppen on my hpme computer?	logoff mobile, mobile account, oppen hpme, right account, computer
I need to verify a cashiers check. Can you help me with that?	verify cashiers, need verify, check
Hi there! I would like to know my balance	balance, know balance, hi like, know, like
Howdy! So I got a notification from the the AIQFinancial banking app this morning saying that at 3:53, someone logged into my account. I did not sign in at that time. So, I signed in and looked everything over and nothing seemed amiss except for the record of someone signing in to my account earlier this morning. I was just wondering what I should do about this.	signing account, earlier morning, notification, saying 53
Apply for loan	apply loan, loan, apply
my card runs out next month whien i get a replacement ?	card runs, card, replacement, month whien, whien
why am i not seeing  my transactions	seeing transactions, transactions, seeing
I was chatting with Steven and have lost his	chatting steven, steven lost, steven, chatting, lost
How can I get my $350.00 payment to be electronic instead of a check?	payment electronic, electronic instead, instead check, 00, 350
Why is my account not showing on my app?	account showing, showing app, app, showing
Do you do money orders?	money orders, orders, money
How can I authorize a connection to Quicken?	connection quicken, quicken, authorize connection, connection, authorize
Visa Credit Card	visa credit, credit card, visa, card, credit
How do I get line of credit acct to show back up in app?	credit acct, line credit, acct app, app, line
I forgot my login ID, what should I do?	forgot login, login id, login, id, forgot
hello
Hi there! I need some help getting instructions for a 10 day pay off.	instructions 10, day pay, 10 day, help getting
can you get foreign currency through AIQFinancial	currency aiqfinancial, foreign currency, currency, foreign
need help with dispute	help dispute, dispute, need help
I list the person so was chatting with.	person chatting, list person, chatting, person, list
What is the minimum balance for my account?	minimum balance, balance account, minimum, balance
Replacement card	replacement card, card, replacement
Reset password	reset password, password, reset
password	password
Hello. I put in a request for a stop pay yesterday evening on a check that bill pay sent out to pay my house payment but the company went ahead and cashed it. I’m fine with that but I called in to the company this morning and did a check paymwnt over the phone. I called the company back ans asked them to cancel the payment over the phone since they already cashed the check. Is there anything that you all need to know or do?	cancel payment, ahead cashed, request stop, called company, check need
Hi there! I need some help with…checking my mortgage loan	checking mortgage, loan, help checking, hi need
My debit card is not working	debit card, card working, debit, card, working
Need to update my address	update address, address, need update, update
Hello Lisa,	hello lisa, lisa
Hi there! I need some help with…	need help, hi need
This is Larry  loan act #000000 , I am locked out of my act, can you ll help.  Larry	loan act, locked act, help larry, 000000 locked, ll help
Tax statement	tax statement, tax, statement
I am having a difficult time finding the mobile deposit on the mobile banking. I have found where I'm enrolled but can't find where you actually take pics of the check etc	deposit mobile, enrolled, pics check, time finding, actually
I was chatting with someone about a deposit I made yeaterday	deposit yeaterday, chatting deposit, deposit, yeaterday, chatting
Hi, I don’t have mobile deposit on my app, I go to settings to get it, and it says I already have it, am already set up for it. But it is not in my menu list.  I don’t have it. I want it.	deposit app, app settings, set menu, list, don want
Open basic checking account	checking account, open basic, basic checking, basic, open
How can I get a new card	new card, card, new
Phone number branch on south 31 st	branch south, 31 st, phone number, number branch, phone
Still waiting on response to my previous chat regarding 2 pending charges of 7.91 and 9.99 made today in Bartlett,I’ll.  I have been home all day and have never been to I’ll.  What are these charges???	pending charges, bartlett, 91 99, previous chat, ll home
IRA	ira
if i open an account with you at a branch do i receive a debit card  at that time?	debit card, open account, branch, receive, time
Hello
I need to reset my online password	online password, password, reset, online
Need to lock my bank card	lock bank, bank card, need lock, card
I opened the tab just out of curiosity.  Thank you for reaching out.	opened tab, curiosity thank, reaching, just
Hi there! I need some help with…	need help, hi need
I have tried since Monday to connect my QBO feed with our AIQFinancial banking accounts.  I have spoken to a gentleman on Monday and told it was a QBO problem.  Spoke with our accountant and they said no, it's AIQFinancial.  Yesterday I wrote back and forth with a lady by chat.  She said she thought she fixed it and to wait until today.  Still not fixed.	connect qbo, aiqfinancial banking, feed, today fixed, spoken gentleman
In need an MSG - Medallion Signature Guarnatee to change the name on some stocks that I own.  Can I get this from you?	medallion signature, need msg, change stocks, guarnatee, change
whats google chrome	google chrome, chrome, whats google, google, whats
My link to an outside account is no longer working. The outside account recently changed their app. Can you help	changed app, outside account, longer working, link, working outside
Hi there! I need some help with... how come I can’t transfer money to my linked account	linked account, transfer money, come
Hi there! I need some help with…my husband has been locked out of his online account. He stopped by the other day but he only had 15 minutes to log in and got tied up so he wasn't successful.	locked online, account stopped, help husband, minutes log, day 15
retirement IRA rollover	ira rollover, retirement ira, rollover, ira, retirement
Finding account number	account number, finding account, number, finding
Forgot pin how can i reset it	pin reset, forgot pin, reset, pin, forgot
I’m having trouble logging in.	having trouble, trouble logging, trouble, logging, having
I need to know my account and routing number, please.	routing number, account routing, know account, number
Im in wyoming just making sure my card is active.	im wyoming, card active, im, making sure, just
I need to reset my password	reset password, password, need reset, reset
I have a morgage through you and I am hoping to refinance	refinance, hoping refinance, morgage, morgage hoping, hoping
Switch both accounts to estatements.	accounts estatements, switch accounts, estatements, accounts, switch
Hi there! I need some help with…getting into my bank app. It says I’m locked out. I can’t remember my password and it’s not taking my user name neither	bank app, password taking, locked remember, help getting, says
Paperless billing	paperless billing, billing, paperless
How much is the limit for overdraft if I use my card? I’m negative right now but wanted to swipe for gas	limit overdraft, use card, wanted swipe, negative right, gas
Locked account	locked account, locked
Land Loan	land loan, loan, land
Where can I find my taxable interest for 2021	taxable 2021, taxable, 2021
Is there anyone there?
good morning! i need to reset my password due to an invalid login attempt	reset password, login attempt, good morning, invalid
Can you check and see if someone logged into my online account?	check logged, online account, logged online, online, check
unauthorized debit	unauthorized debit, debit, unauthorized
How do I open an account?	open account, open
How to update my phone number	update phone, phone number, number, phone, update
Good morning. Im trying to up today's spending limit by 2500.  How would I go about getting that changed for the day?	spending limit, 2500 getting, getting changed, trying today, good
I have a trust account showing 15,000.00 over draft. What is that transaction? have problems  remember that ranaction	draft transaction, 15 000, account showing, trust, remember
in the past, one of the services offered to customers was free fax service. Is that still offered?	fax service, customers free, services, past, offered
Infuriated	infuriated
Can you tell me how to find the balance for a specific date?	balance specific, specific date, date, specific, tell
I want inquire about my negative balance. This is not correct. A deposit was made via atm on Feb 18 with cash.	negative balance, deposit atm, want inquire, feb 18, correct
How do I add a nickname to an external account which I transfer funds to periodically?	nickname external, external account, account transfer, funds periodically, add
what is my routing number?	routing number, routing, number
Donations/ sponsorahip	donations sponsorahip, sponsorahip, donations
External transfer deposit not showing	deposit showing, transfer deposit, transfer, external, showing
locked out of online accont	locked online, online accont, locked, accont, online
Hi, i am a customer of your bank.  i need to order a cashers check, do you have this service?  Thanks!	order cashers, bank need, check service, hi customer
How do I make a payment on my credit card in the app	payment credit, card app, app, card, make
i need to reset my password, its locked	reset password, password locked, need reset, locked
I have about 30 of the same charge on my account	charge account, 30 charge, charge, 30
Hi
What information do I need to have someone send me a wire?	send wire, wire, need send, information need
Deposit	deposit
how do i send an email i am wanting to close my account	close account, send email, close, wanting
Unlock logon	unlock logon, logon, unlock
Hi, my name is Haydin Davis and I came inside the bank on Valley Mills yesterday to make a cash deposit. I used the cash machine and the machine took my cash. The message on the screen said that my cash or checks had been retained. It was about $147 dollars. The two women I spoke to about the issue assured me that the issue would be taken care of with the back bank and that I should see the amount in my bank by the end of yesterday. However, it's the next day and I still can't see the amount in my checking account. Just wanted to check on this issue! This happened on 7/19 at 3:34 PM at ATM 000000	cash checks, davis came, women spoke, machine machine, 34 pm
Atm withdrawal limit	atm withdrawal, withdrawal limit, withdrawal, atm, limit
I'm locked out of my online account and need help accessing it	locked online, online account, help accessing, need help
Hi there! I need some help with… logging into my AIQFinancial app	aiqfinancial app, app, help logging, hi need
Hi there! I need some help with...finding my payoff	finding payoff, finding
Yesterday I made a deposit of 2,000 dollars, and it doesn't appear in my account. And my card isn't working	deposit 000, card isn, doesn appear, dollars doesn, yesterday
Personal loan	personal loan, loan, personal
Looking for the nearest ATM  near me	atm near, nearest, near, atm, looking
Representative	representative
Can't find deposit feature on app	deposit feature, deposit, feature app, app, feature
What’s my routing number	routing number, routing, number
Mayra, I set up with PNC an account but would prefer to do from my AIQFinancial bill pay, is PNC set up as a account that pops up? They said to wait to cancel my check	pnc account, aiqfinancial pay, cancel check, mayra set, said
Is there not an option for bill pay on the updated app?	pay updated, option pay, app, updated, option
Delay payment	delay payment, payment, delay
how do i close an account online?	close account, account online, online, close
I've had several emails alerting me to invalid password attempts on my account. I have already changey password. Is there anything else I can do to protect my account?	password attempts, emails alerting, protect, changey
What is prizeout for $ 80.00 on my acct?	prizeout 80, prizeout, acct, 80, 00
Im seeing messages that Ive logged in 2 hours ago, but I haven’t been	logged hours, seeing messages, im seeing, ago haven, im
wire	wire
what is the daily limit for transfers	limit transfers, daily limit, transfers, daily, limit
My name is Mary Ann. I just to some, I need to find out why I was charged 31 us dallors. I did not authorize it	charged 31, did authorize, mary ann, just need, dallors did
Yes, can you let me know when this account was initially established?	account initially, know account, established, yes, let know
Home depot was supposed to return 250.00 but it shows a minus 250.00	home depot, return 250, minus, 00 shows, supposed
Extra ####	extra
I need to deposit a several thousand dollar check and I need to know if I have to go by a branch drive through or if the ITM will accept the deposit.  thank you.	deposit thousand, know branch, drive itm, check need
I want to transfer money from one account to another but I cannot find the transfer option on my app.	account transfer, option app, money account, want, money
Hi there! I need some help with I'm locked out my account it said I needed to change my password yesterday so I changed it and have been getting emails saying invalid password and now I'm locked out	password locked, getting emails, saying invalid, yesterday changed
Hi there! I need some help with…	need help, hi need
Check cashing	check cashing, cashing, check
I would like to inquire as to how much our CD interest will make us in the coming 10 months.	inquire cd, 10 months, coming 10, make coming, like
Why can't I get bill pay to work on my account it keeps telling me there is an error try again later for about a month now	error try, account keeps, pay, later month, telling
Expo22 Mary	expo22 mary, expo22, mary
Good morning, do your bank do currency exchange?	currency exchange, bank currency, good morning, good
check question	check question, check, question
Minimum to open checking account	checking account, open checking, minimum open, minimum, open
How to access my 1099 form	access 1099, 1099 form, 1099, form, access
Agent	agent
Trying to see if my account is closed	account closed, trying account, closed, trying
Card swap	card swap, swap, card
Yesterday, I received in the mail an envelope from the bank with a check.  I had directed the bank to pay one of my bills and the check was sent to me even though the top portion of the page had the address to the business I was trying to pay. I need to know how this happened and what I need to do to make sure my bills paid through bill pay get to the business ON TIME.  The bank issues the check on January 26, 2022. Would appreciate your help	bank check, yesterday received, page address, 26 2022, know
How do I dispute a transaction I didn't approve?	dispute transaction, transaction didn, approve, dispute, didn
I need help to reset me password please	reset password, password, help reset
I am trying to log in to my app on my phone to make a deposit.  It won't let me log in.  Says that my password is incorrect, even though it works for my online account.	password incorrect, log app, make deposit, online, says
Hello
I am traveling out of state tomorrow, 19 February. My husband and I need to mark our cards for traveling so they don't get locked up when something unusual comes across the line.	mark cards, traveling state, locked unusual, 19 february, husband need
Good morning.  I am disputing the overdraft fees that were billed this morning. I Noticed a check had cleared and I transferred the money into the account via cashapp before 430 last night.  The fees were $105 and my account is negative less than $100.	overdraft fees, account cashapp, cleared transferred, negative 100, morning
Hi it's me
I need to know how to go about setting up a bank account for my son since he is only 17	bank account, son 17, know setting, know
139 x 104	139 104, 139, 104
Dispute a transaction	dispute transaction, transaction, dispute
Hi there! I need some help with…	need help, hi need
What is the current interest rate to purchase a new vehicle.	current rate, new vehicle, rate purchase, new, purchase
Hello
good I’m Trying to transfer money to my cash all	transfer money, trying transfer, cash, good, good trying
I am requesting information on Home Equity Loans	equity loans, home equity, information home, requesting information, home
Add card to Apple Pay	apple pay, card apple, add card, pay, apple
forgot password	forgot password, password, forgot
My account is locked and I can't log in to my app	account locked, locked log, log app, app
I got a call from 1-xxx-xxx-8990 saying they were with you wanting to verify recently activity on my bank account . Is this y’all or a scam number?	scam number, verify, 8990 saying, recently activity, saying wanting
Some how I got charged 33us dollars for some thing I did not authorize.  It says savvy saving, I want to cancel it and my money back	cancel money, charged 33us, authorize says, saving, says savvy
I am filling out an eft form for my business to receive funds and they want an eft email for the bank. What is best to use?	eft email, form business, bank best, receive funds, use
Hi there! I need some help with…	need help, hi need
Yall been open today or what	open today, yall open, open, today, yall
I am locked out of my online banking	online banking, locked online, banking, locked, online
Complaint	complaint
Hello, I am attempting to make a purchase at Keith Ace Hardware in Hewitt for a little over $2500 and I am being declined	2500 declined, make purchase, hardware hewitt, keith ace, hello attempting
Hi there! I need some help with…login	help login, login
I locked myself out of my app	locked app, app, locked
Question about my account	question account, question
Routing number	routing number, routing, number
Close my account	close account, close
Forgot password	forgot password, password, forgot
How can i see how much i spent for the whole yesr	spent yesr, spent, yesr
I am afraid my account has been closed and my refund is set to be sent to this account	account closed, closed refund, refund set, sent, afraid
Hi there! I need some help with…my online account I am locked out	account locked, online account, help online
I have no way to make mobile deposit even though I am enrolled	mobile deposit, deposit enrolled, enrolled, make mobile, way make
I’m trying to find my savings account number and routing number	routing number, account number, trying savings, number, trying
How can I check to see how much money is on my card?	money card, check money, card, check, money
Digital wallet	digital wallet, wallet, digital
I was chatting w Lisa in regard to a service fee of 1.95	service fee, chatting lisa, service, 95, regard
Does your bank have a way tomake online ach transfers from other banks?	transfers banks, ach transfers, online ach, way tomake, does
Unauthorized charges in my account	unauthorized charges, charges account, unauthorized, charges
I’m trying to deposit a check through the scan feature and I can’t find where to do that at	scan feature, trying deposit, check, feature, trying
Is your bill pay site still not functioning?	pay site, site functioning, pay, site, functioning
I disabled my debit card yesterday but I still have my card how can I reable it?	disabled debit, debit card, card, reable, yesterday
Locked account	locked account, locked
What is the most we can spend on debit in a day?	spend debit, debit day, debit, spend, day
i need to put a new phone number for my account	number account, phone number, phone, need new
Need to fund out qherw all my money is	fund qherw, need fund, qherw, money
Why do all of our  accounts show 0 balances??	accounts balances, accounts, balances
Just checking to see if this works	just checking, checking works, works, just
My card won’t work	card, card won, won work, won, work
Expo 2022	expo 2022, expo, 2022
I received a letter about an inactive account and I would like to close that account.	close account, inactive account, letter inactive, received, like
Trying to buy tires and getting a declined over limit message.	declined limit, limit message, buy tires, trying buy, message
I need to make a travel notification	travel notification, notification, travel, need make
Trying to get mailing addresses for Sean and Brian?	addresses sean, brian, addresses, trying mailing, trying
a friend is buying a car from me and his bank is in CO, he wants to wire transfer the funds to my account at AIQFinancial.  He said I need to get a form from AIQFinancial?  Is that correct?	account aiqfinancial, wire transfer, buying car, need form, friend
I have a check from a client of AIQFinancial from the city of Gatesville and I am in Fort Worth where is the closest branch I could use to cash this check/?	cash check, gatesville fort, client aiqfinancial, branch use, worth closest
I trying figure where can I find my routing number and account number at?	routing number, number, figure, trying
I am out of the country and I am unable to use my debit card	debit card, use debit, country unable, unable use, use
Can I set up a CD online?	cd online, set cd, cd, online, set
Expo 2022	expo 2022, expo, 2022
I'm trying to set up online access to my account and i keep getting an error message	error message, online access, account getting, trying, set
ATM	atm
I want to make sure an account is closed and when it was closed	account closed, closed closed, make sure, sure, want make
Question with “ bill pay”	question pay, pay, question
Hi! I am looking into business accounts/debit cards. What are the limits for sales and atm transactions with a business debit card? Thanks!	debit cards, business accounts, limits sales, atm, hi looking
What is the current auto loan rate	loan rate, auto loan, rate, auto, current
Friends out their , Attention, this scam did happen to me buy of all people convincing me she was a long lost family member. She was very convincing and up to date on her information. My bank help me so much. I think if it were not for friends and help of my AIQFinancial bank I would be in a straight jacket by now. Please take heed to what the bank is saying. It can happen to anyone.	scam, aiqfinancial bank, date information, friends attention, jacket heed
Can i deposit a check on here	deposit check, deposit, check
Do you have a fax number.  I need to order a payoff on an installment loan.	fax number, payoff installment, loan, order
Need to retest my account	retest account, retest, need retest
looking for my mortgage tax statement	mortgage tax, looking mortgage, tax statement, statement, looking
Close business account	business account, close business, business, close
I need to pick up some temporary checks today. Can I get those printed through an iTM or do I need to come in to a branch?	printed itm, temporary checks, come branch, today, need pick
I have a double payment to olio restaurant they say on their end it’s only showing one so I need to dispute the second transaction for 94.50	double payment, olio restaurant, dispute, 94 50, end showing
IM TRYING TO GET AN AUTO LOAN PAYOFF, BUT HAVE BEEN ON HOLD FOR 30 MINUTES...CAN YOU HELP?	loan payoff, hold 30, auto, minutes, im trying
Our checking account is not showing up on either the mobile app or web login.  Please assist.	checking account, web login, showing mobile, app, assist
Where can I find my direct deposit information	deposit information, direct deposit, deposit, direct
How do I take off the overdraft on my account?	overdraft account, overdraft
Where can I find my 1099-INT for my account?	1099 int, 1099, int account, int
agent	agent
Do I need an initial deposit to open a checking account	initial deposit, open checking, need initial
Can you check pending deposits	pending deposits, check pending, deposits, pending, check
Hello. I received fraud alerts and blocked my card. What's the faster way I can get a new card?	blocked card, fraud alerts, faster way, hello received, new
How long does it take for mobile check deposits to clear?	deposits clear, mobile check, does mobile, check, long
How can I transfer funds to an unlinked bank account	unlinked bank, transfer funds, funds unlinked, unlinked
What is the status of my application for a secured credit card	secured credit, application secured, status application, secured, card
Is there a notary at the Belton location?	notary belton, notary, belton location, belton, location
Can we exchange usd for pesos at the Belton branch?	pesos belton, usd pesos, exchange usd, belton, branch
Hello, I wanted to notify you that my husband, Jeff , are traveling to Mexico 2/12-2/10.	traveling mexico, jeff, notify husband, hello wanted, 12 10
How do I close my mobile app screen? I don't see an X to get out so I can resume what I was working on.	close mobile, app screen, screen don, resume working, don
Is there a glitch with the app?? It says all my money is gone from all 3 accounts	glitch app, app says, accounts, gone, says money
Hello! Can i change my address in the app?	address app, change address, app, change
I want to stop payment from my debit card through Venmo in the snout if $275.00 Lambert  Carter it was a scam	stop payment, scam, venmo snout, 275 00, lambert carter
Transaction	transaction
Hi I recently submitted request online to open account however after learning more i see that BANK ON would be a better fit for me. Can you help me get started with that my name is Debbie Blakely	open account, bank better, request online, debbie blakely, fit help
Increase daily limits	daily limits, increase daily, limits, increase, daily
Steven	steven
Do you all have zelle	zelle
Why did my monthly payment to TriEagle Energy change from an ACH payment to a Master Card ending in 7265?	ach payment, master card, trieagle energy, ending 7265, did monthly
I like see if I can get  overdraft  on my account	overdraft account, like overdraft, overdraft, like
